BitTrex,[BTC]
Coinse,"[LTC, BTC]"
Cryptopia,"[XMR, FTC, DOGE, LTC, UNO, POP, ETH, BTC, DOT]"
Cryptsy,"[XRP, BTC]"
Novaexchange,"[BTC, LTC, ETH, DOGE]"
