BitTrex,[BTC]
Cryptopia,"[BTC, XMR, DOGE, UNO, DOT, LTC, FTC]"
Cryptsy,"[LTC, XRP, BTC]"
LiveCoin,"[USD, EUR, BTC]"
Yobit,"[RUR, ETH, USD, WAVES, BTC, DOGE]"
