BitTrex,[BTC]
Cryptopia,"[DOGE, FTC, DOT, POP, UNO, BTC, LTC, XMR]"
Lykke,[USD]
Novaexchange,"[DOGE, BTC, LTC, ETH, MOON]"
Yobit,"[RUR, ETH, DOGE, BTC, USD, WAVES]"
