BitTrex,[BTC]
Bleutrade,"[DOGE, BTC]"
CCEX,"[BTC, USD, LTC, DOGE]"
Cryptopia,"[FTC, UNO, DOGE, BTC, LTC, XMR, POP, DOT]"
Cryptsy,"[XRP, BTC]"
Yobit,"[USD, DOGE, ETH, BTC, RUR, WAVES]"
