BitTrex,[BTC]
CCEX,"[LTC, DOGE, BTC, USD, ETH]"
Cryptopia,"[FTC, XMR, DOGE, POP, BTC, DOT, UNO, ETH, LTC]"
Yobit,"[DOGE, ETH, BTC, USD, RUR, WAVES]"
