BitTrex,[BTC]
CCEX,"[ETH, BTC, DOGE, USD, LTC]"
Cryptopia,"[LTC, XMR, UNO, FTC, DOGE, BTC, DOT]"
Yobit,"[WAVES, DOGE, BTC, ETH, RUR]"
