BitTrex,[BTC]
Bleutrade,"[DOGE, ETH, BTC]"
CCEX,"[USD, LTC, DOGE, BTC]"
Cryptopia,"[XMR, DOT, DOGE, FTC, BTC, LTC, POP, UNO]"
Novaexchange,"[BTC, ETH, LTC, DOGE]"
Yobit,"[ETH, RUR, USD, DOGE, BTC, WAVES]"
