BitTrex,[BTC]
Cryptopia,"[UNO, DOGE, BTC, LTC]"
Tidex,"[WAVES, BTC, ETH]"
WavesDEX,"[EUR, OCL, INCNT, YTB, WAVES, USD, FNX, CHILL, WCT, BTC, ETH, WCASH, RBX, FENIX]"
