BitTrex,[BTC]
Bleutrade,"[DOGE, ETH, BTC]"
Cryptopia,"[LTC, DOGE, DOT, BTC]"
Novaexchange,"[BTC, LTC, ETH, DOGE]"
Yobit,"[DOGE, RUR, USD, ETH, BTC, WAVES]"
