BitTrex,[BTC]
CCEX,"[USD, LTC, DOGE, BTC]"
Cryptopia,"[POP, DOT, LTC, XMR, ETH, BTC, UNO, DOGE, FTC]"
Novaexchange,"[ESP2, MOON, PIGGY, KIC, ETH, LTC, DOGE, BTC]"
Yobit,"[DOGE, WAVES, ETH, USD, RUR, BTC]"
