BitTrex,[BTC]
CCEX,"[DOGE, BTC, LTC, USD, ETH]"
Cryptopia,"[UNO, DOT, FTC, XMR, DOGE, LTC, POP, BTC]"
Cryptsy,"[LTC, BTC, XRP]"
Novaexchange,"[BTC, LTC, DOGE, ETH]"
