BitTrex,[BTC]
CCEX,"[BTC, USD]"
Cryptopia,"[DOGE, UNO, FTC, LTC, BTC, DOT, POP]"
Yobit,"[BTC, WAVES, RUR, USD, DOGE, ETH]"
