BitTrex,[BTC]
CCEX,"[BTC, DOGE]"
Cryptopia,"[DOGE, LTC, DOT, UNO, FTC, BTC, XMR]"
Novaexchange,"[LTC, MOON, DOGE, KIC, BTC]"
Yobit,"[WAVES, BTC, ETH, RUR, DOGE, USD]"
