BitTrex,[BTC]
Cryptopia,"[DOGE, UNO, FTC, DOT, BTC, XMR, ETH, LTC, POP]"
Cryptsy,"[BTC, XRP, LTC]"
Novaexchange,"[ETH, MOON, DOGE, BTC]"
Yobit,"[DOGE, BTC, RUR, USD, ETH]"
