BitTrex,[BTC]
CCEX,"[DOGE, BTC, USD, LTC]"
Cryptopia,"[DOT, LTC, BTC, POP, FTC, UNO, DOGE]"
Yobit,"[RUR, DOGE, WAVES, BTC, ETH]"
