BitTrex,[BTC]
CCEX,"[LTC, DOGE, BTC]"
Cryptopia,"[BTC, UNO, FTC, DOGE, LTC, DOT, XMR]"
Novaexchange,[DOGE]
Yobit,"[USD, DOGE, BTC, WAVES, ETH, RUR]"
