BitTrex,[BTC]
CCEX,"[BTC, DOGE]"
Cryptopia,"[UNO, FTC, DOGE, BTC, LTC, DOT, XMR]"
Novaexchange,"[ETH, DOGE, BTC, KIC, ESP2, LTC, MOON]"
Yobit,"[USD, RUR, ETH, BTC, DOGE, WAVES]"
