BitTrex,[BTC]
CCEX,"[USD, BTC, DOGE]"
Cryptopia,"[DOT, POP, XMR, FTC, BTC, DOGE, LTC, UNO]"
Yobit,"[DOGE, BTC, ETH, USD, RUR]"
